"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Book Management","0","Get Book API Tests","1","0","Get book by valid ID","0"
"0","User Authentication","0","Signup & Login API Tests","1","0","Login with valid credentials","0"
"0","Book Management","0","Update Book API Tests","1","0","Update an existing book","0"
"0","User Authentication","0","Signup & Login API Tests","1","0","Handle duplicate signup","0"
"0","Book Management","0","Update Book API Tests","1","0","Update book with invalid ID","0"
"0","Book Management","0","Delete Book API Tests","1","0","Delete an existing book","0"
"0","Book Management","0","Delete Book API Tests","1","0","Attempt to delete a non-existent book","0"
"0","Book Management","0","Create Book API Tests","1","0","Create a valid new book","0"
"0","Book Management","0","Get Book API Tests","1","0","Get book with invalid ID format","0"
"0","User Authentication","0","Signup & Login API Tests","1","0","Signup with valid credentials","0"
"0","User Authentication","0","Signup & Login API Tests","1","0","Login with incorrect email","0"
"0","User Authentication","0","Signup & Login API Tests","1","0","Login with incorrect password","0"
"0","Book Management","0","Create Book API Tests","1","0","Create book with duplicate ID","0"
"0","Book Management","0","Create Book API Tests","1","0","Create book with missing required field","0"
"0","Book Management","0","Get Book API Tests","1","0","Get book by non-existent ID","0"
