"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Authentication","Signup & Login API Tests","Login with valid credentials","0","0","1","0","0"
"User Authentication","Signup & Login API Tests","Login with incorrect email","0","0","1","0","0"
"Book Management","Delete Book API Tests","Attempt to delete a non-existent book","0","0","1","0","0"
"Book Management","Update Book API Tests","Update book with invalid ID","0","0","1","0","0"
"Book Management","Get Book API Tests","Get book by non-existent ID","0","0","1","0","0"
"Book Management","Update Book API Tests","Update an existing book","0","0","1","0","0"
"Book Management","Create Book API Tests","Create book with duplicate ID","0","0","1","0","0"
"User Authentication","Signup & Login API Tests","Signup with valid credentials","0","0","1","0","0"
"User Authentication","Signup & Login API Tests","Handle duplicate signup","0","0","1","0","0"
"Book Management","Create Book API Tests","Create book with missing required field","0","0","1","0","0"
"User Authentication","Signup & Login API Tests","Login with incorrect password","0","0","1","0","0"
"Book Management","Create Book API Tests","Create a valid new book","0","0","1","0","0"
"Book Management","Get Book API Tests","Get book with invalid ID format","0","0","1","0","0"
"Book Management","Get Book API Tests","Get book by valid ID","0","0","1","0","0"
"Book Management","Delete Book API Tests","Delete an existing book","0","0","1","0","0"
